trialType,riskyHigh,riskyLow,EVrisky,varRisky,Vsafe,EVriskyMinusVsafe,chooseRisky,choseSafe,SVrisky,SVdiff,subject,condition,EVdiffMC,condMC,EVcond_int_MC
2,15,-8,3.5,23,0,3.5,1,0,3.68213407771607,3.68213407771607,1,1,2.71278109877598,0.499573014517506,1.31123303635174
1,74,0,37,74,30,7,0,1,22.0132869039165,-7.98671309608346,1,1,6.21278109877597,0.499573014517506,3.05973858716301
1,50,0,25,50,10,15,1,0,17.3966522258398,7.39665222583981,1,1,14.212781098776,0.499573014517506,7.05632270330307
2,15,-3,6,18,0,6,1,0,6.1480103801927,6.1480103801927,1,1,5.21278109877597,0.499573014517506,2.56016557264551
2,75,-75,0,150,0,0,1,0,7.0518735202762,7.0518735202762,1,1,-0.787218901224025,0.499573014517506,-0.43727251445953
2,75,-58,8.5,133,0,8.5,1,0,14.2505085063444,14.2505085063444,1,1,7.71278109877597,0.499573014517506,3.80909810893927
3,0,-42,-21,42,-25,4,1,0,-75.3005110065942,-50.3005110065942,1,1,3.21278109877598,0.499573014517506,1.5610195436105
3,0,-37,-18.5,37,-15,-3.5,0,1,-55.9244385182331,-40.9244385182331,1,1,-4.28721890122403,0.499573014517506,-2.1857780652708
1,25,0,12.5,25,15,-2.5,1,0,10.3628505080189,-4.63714949198111,1,1,-3.28721890122402,0.499573014517506,-1.6862050507533
3,0,-28,-14,28,-10,-4,0,1,-31.4979739992036,-21.4979739992036,1,1,-4.78721890122403,0.499573014517506,-2.43556457252956
