trialType,riskyHigh,riskyLow,EVrisky,varRisky,Vsafe,EVriskyMinusVsafe,chooseRisky,choseSafe,SVrisky,SVdiff,subject,condition,EVdiffMC,condMC,EVcond_int_MC
2,75,-48,13.5,123,0,13.5,1,0,15.5089689810681,15.5089689810681,2,1,12.4525,0.5,6.3609375
1,44,0,22,44,20,2,1,0,95.3477967187767,75.3477967187767,2,1,0.9525,0.5,0.6109375
3,0,-25,-12.5,25,-15,2.5,0,1,-32.123876470745,-17.123876470745,2,1,1.4525,0.5,0.8609375
1,75,0,37.5,75,15,22.5,1,0,578.856989878729,563.856989878729,2,1,21.4525,0.5,10.8609375
1,90,0,45,90,25,20,1,0,1348.06387508254,1323.06387508254,2,1,18.9525,0.5,9.6109375
1,40,0,20,40,20,0,1,0,74.4888690934763,54.4888690934763,2,1,-1.0475,0.5,-0.3890625
3,0,-79,-39.5,79,-25,-14.5,0,1,-1430.33397729005,-1405.33397729005,2,1,-15.5475,0.5,-7.6390625
3,0,-18,-9,18,-10,1,0,1,-17.3697105080087,-7.36971050800874,2,1,-0.0475000000000001,0.5,0.1109375
2,25,-5,10,30,0,10,1,0,10.1637998585556,10.1637998585556,2,1,8.9525,0.5,4.6109375
2,25,-34,-4.5,59,0,-4.5,0,1,-4.05668741903225,-4.05668741903225,2,1,-5.5475,0.5,-2.6390625
1,33,0,16.5,33,15,1.5,0,1,47.5140432000766,32.5140432000766,2,1,0.4525,0.5,0.3609375
3,0,-47,-23.5,47,-15,-8.5,0,1,-163.693818695749,-148.693818695749,2,1,-9.5475,0.5,-4.6390625
2,15,-5,5,20,0,5,1,0,5.06277190420062,5.06277190420062,2,1,3.9525,0.5,2.1109375
1,50,0,25,50,30,-5,1,0,136.807106815938,106.807106815938,2,1,-6.0475,0.5,-2.8890625
1,44,0,22,44,20,2,0,1,95.3477967187767,75.3477967187767,2,1,0.9525,0.5,0.6109375
3,0,-28,-14,28,-10,-4,0,1,-40.8766699324421,-30.8766699324421,2,1,-5.0475,0.5,-2.3890625
2,15,-15,0,30,0,0,1,0,0.112502109390788,0.112502109390788,2,1,-1.0475,0.5,-0.3890625
3,0,-32,-16,32,-10,-6,0,1,-55.6244653859899,-45.6244653859899,2,1,-7.0475,0.5,-3.3890625
2,15,-30,-7.5,45,0,-7.5,0,1,-7.22070091788645,-7.22070091788645,2,1,-8.5475,0.5,-4.1390625
2,75,-83,-4,158,0,-4,0,1,-0.882350947621902,-0.882350947621902,2,1,-5.0475,0.5,-2.3890625
3,0,-55,-27.5,55,-30,2.5,0,1,-283.942186877537,-253.942186877537,2,1,1.4525,0.5,0.8609375
2,75,-15,30,90,0,30,1,0,31.4980452438471,31.4980452438471,2,1,28.9525,0.5,14.6109375
3,0,-50,-25,50,-25,0,0,1,-201.496230396013,-176.496230396013,2,1,-1.0475,0.5,-0.3890625
1,37,0,18.5,37,15,3.5,1,0,61.6306949220854,46.6306949220854,2,1,2.4525,0.5,1.3609375
3,0,-126,-63,126,-30,-33,0,1,-32734.2262861198,-32704.2262861198,2,1,-34.0475,0.5,-16.8890625
3,0,-50,-25,50,-20,-5,1,0,-201.496230396013,-181.496230396013,2,1,-6.0475,0.5,-2.8890625
1,54,0,27,54,15,12,1,0,173.24228891614,158.24228891614,2,1,10.9525,0.5,5.6109375
1,100,0,50,100,20,30,1,0,2361.41510656727,2341.41510656727,2,1,28.9525,0.5,14.6109375
