happiness,cond,Vsafe,riskyHi,riskyLo,choseRisky,subjectWon,partnerWon,rewardSubj,rewardPart,subject,EV,ineq,ineqAdv,ineqDisadv,sRPE,pRPE,subjDecided,socialTrial
-0.970160140083893,2,0,0.75,-0.67,1,0,0,-0.67,-0.67,4,0.04,0,NaN,NaN,-0.71,-0.71,0,1
0.987961243571671,2,0,0.25,-0.16,1,1,1,0.25,0.25,4,0.045,0,0,0,0.205,0.205,0,1
1.16597227844945,2,0.15,0.63,0,1,1,0,0.63,0,4,0.315,1,1,NaN,0.315,-0.315,0,1
-0.0801049656950002,2,0.15,0.63,0,1,0,1,0,0.63,4,0.315,1,NaN,1,-0.315,0.315,0,1
-2.21623738422834,1,0.2,0.72,0,1,0,0,0,0,4,0.36,0,NaN,NaN,-0.36,-0.36,1,1
1.16597227844945,1,-0.25,0,-0.5,1,1,1,0,0,4,-0.25,0,0,0,0.25,0.25,1,1
0.275917104060557,1,0.1,0.25,0,1,1,0,0.25,0,4,0.125,1,1,NaN,0.125,-0.125,1,1
1.78901090052167,1,0,0.25,-0.34,1,1,1,0.25,0.25,4,-0.045,0,0,0,0.295,0.295,1,1
0.453928138938336,2,0.1,0.42,0,1,0,1,0,0.42,4,0.21,1,NaN,1,-0.21,0.21,0,1
0.987961243571671,2,0,0.15,-0.05,1,1,0,0.15,-0.05,4,0.05,1,1,NaN,0.1,-0.1,0,1
-1.86021531447279,1,0,0.75,-0.75,1,0,0,-0.75,-0.75,4,0,0,NaN,NaN,-0.75,-0.75,1,1
0.275917104060557,1,-0.15,0,-0.25,1,1,1,0,0,4,-0.125,0,0,0,0.125,0.125,1,1
0.275917104060557,1,0.2,0.5,0,1,1,0,0.5,0,4,0.25,1,1,NaN,0.25,-0.25,1,1
0.694591525434128,2,0,0.75,-0.38,1,1,0,0.75,-0.38,4,0.185,1,1,NaN,0.565,-0.565,0,1
0.851857531192798,2,0.3,0.74,0,1,0,1,0,0.74,4,0.37,1,NaN,1,-0.37,0.37,0,1
-1.03533453791125,1,0,0.75,-0.48,1,0,0,-0.48,-0.48,4,0.135,0,NaN,NaN,-0.615,-0.615,1,1
-1.42849955230792,1,0,0.15,-0.05,1,0,0,-0.05,-0.05,4,0.05,0,NaN,NaN,-0.1,-0.1,1,1
0.380059513916787,1,0,0.25,-0.22,1,1,0,0.25,-0.22,4,0.015,1,1,NaN,0.235,-0.235,1,1
-2.05756357534261,1,0,0.55,-0.42,1,0,0,-0.42,-0.42,4,0.065,0,NaN,NaN,-0.485,-0.485,1,1
0.694591525434128,1,0.15,0.47,0,1,0,1,0,0.47,4,0.235,1,NaN,1,-0.235,0.235,1,1
1.00912353695147,1,0.15,0.42,0,1,0,1,0,0.42,4,0.21,1,NaN,1,-0.21,0.21,1,1
1.16638954271014,2,0,0.4,-0.14,1,1,1,0.4,0.4,4,0.13,0,0,0,0.27,0.27,0,1
0.537325519675457,2,0.2,0.5,0,1,1,0,0.5,0,4,0.25,1,1,NaN,0.25,-0.25,0,1
0.537325519675457,2,-0.15,0,-0.25,1,1,1,0,0,4,-0.125,0,0,0,0.125,0.125,0,1
